,Activity,SKH,Type,Date,base,year_date,execution_date
0,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-02,terminal 1,2023-01-02,
1,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-09,terminal 1,2023-01-09,
2,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-16,terminal 1,2023-01-16,
3,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-23,terminal 1,2023-01-24,
4,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-30,terminal 1,2023-01-30,
5,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-06,terminal 1,2023-02-06,
6,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-13,terminal 1,2023-02-13,
7,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-20,terminal 1,2023-02-20,
8,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-27,terminal 1,2023-02-27,
9,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-06,terminal 1,2023-03-06,
10,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-13,terminal 1,2023-03-13,
11,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-20,terminal 1,2023-03-20,
12,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-27,terminal 1,2023-03-27,
13,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-03,terminal 1,2023-04-03,
14,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-10,terminal 1,2023-04-10,
15,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-17,terminal 1,2023-04-17,
16,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-24,terminal 1,2023-04-27,
17,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-01,terminal 1,2023-04-28,
18,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-08,terminal 1,2023-05-08,
19,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-15,terminal 1,2023-05-15,
20,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-22,terminal 1,2023-05-22,
21,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-29,terminal 1,2023-05-29,
22,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-05,terminal 1,2023-06-05,
23,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-12,terminal 1,2023-06-12,
24,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-19,terminal 1,2023-06-19,
25,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-26,terminal 1,2023-06-26,
26,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-03,terminal 1,2023-07-03,
27,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-10,terminal 1,2023-07-10,
28,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-17,terminal 1,2023-07-17,
29,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-24,terminal 1,2023-07-24,
30,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-31,terminal 1,2023-07-31,
31,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-07,terminal 1,2023-08-07,
32,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-14,terminal 1,2023-08-14,
33,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-21,terminal 1,2023-08-21,
34,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-28,terminal 1,2023-08-28,
35,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-04,terminal 1,2023-09-04,
36,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-11,terminal 1,2023-09-11,
37,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-18,terminal 1,2023-09-18,
38,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-25,terminal 1,2023-09-25,
39,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-02,terminal 1,2023-10-02,
40,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-09,terminal 1,2023-10-09,
41,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-16,terminal 1,2023-10-16,
42,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-23,terminal 1,2023-10-23,
43,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-30,terminal 1,2023-10-30,
44,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-06,terminal 1,2023-11-06,
45,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-13,terminal 1,2023-11-13,
46,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-20,terminal 1,2023-11-20,
47,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,11-27,terminal 1,2023-11-27,
48,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-04,terminal 1,2023-12-04,
49,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-11,terminal 1,2023-12-11,
50,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,12-18,terminal 1,2023-12-18,
51,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-25,terminal 1,2023-12-22,
52,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,12-25,terminal 1,2023-12-22,
53,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-09,terminal 1,2023-01-09,
54,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-16,terminal 1,2023-01-16,
55,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-23,terminal 1,2023-01-24,
56,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,01-30,terminal 1,2023-01-30,
57,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-06,terminal 1,2023-02-06,
58,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-13,terminal 1,2023-02-13,
59,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-20,terminal 1,2023-02-20,
60,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,02-27,terminal 1,2023-02-27,
61,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-06,terminal 1,2023-03-06,
62,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-13,terminal 1,2023-03-13,
63,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-20,terminal 1,2023-03-20,
64,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,03-27,terminal 1,2023-03-27,
65,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-03,terminal 1,2023-04-03,
66,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-10,terminal 1,2023-04-10,
67,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-17,terminal 1,2023-04-17,
68,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,04-24,terminal 1,2023-04-27,
69,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-01,terminal 1,2023-04-28,
70,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-08,terminal 1,2023-05-08,
71,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-15,terminal 1,2023-05-15,
72,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-22,terminal 1,2023-05-22,
73,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,05-29,terminal 1,2023-05-29,
74,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-05,terminal 1,2023-06-05,
75,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-12,terminal 1,2023-06-12,
76,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-19,terminal 1,2023-06-19,
77,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,06-26,terminal 1,2023-06-26,
78,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-03,terminal 1,2023-07-03,
79,"Bonding Wire, Lanyard & Flame Trap Check",28,Weekly,07-10,terminal 1,2023-07-10,
