Activity,SKH,Type,Date,base,year_date
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-02,terminal 1,2023-01-02
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-09,terminal 1,2023-01-09
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-16,terminal 1,2023-01-16
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-23,terminal 1,2023-01-24
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-30,terminal 1,2023-01-30
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-06,terminal 1,2023-02-06
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-13,terminal 1,2023-02-13
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-20,terminal 1,2023-02-20
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-27,terminal 1,2023-02-27
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-06,terminal 1,2023-03-06
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-13,terminal 1,2023-03-13
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-20,terminal 1,2023-03-20
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-27,terminal 1,2023-03-27
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-03,terminal 1,2023-04-03
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-10,terminal 1,2023-04-10
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-17,terminal 1,2023-04-17
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-24,terminal 1,2023-04-27
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-01,terminal 1,2023-04-28
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-08,terminal 1,2023-05-08
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-15,terminal 1,2023-05-15
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-22,terminal 1,2023-05-22
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-29,terminal 1,2023-05-29
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-05,terminal 1,2023-06-05
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-12,terminal 1,2023-06-12
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-19,terminal 1,2023-06-19
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-26,terminal 1,2023-06-26
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-03,terminal 1,2023-07-03
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-10,terminal 1,2023-07-10
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-17,terminal 1,2023-07-17
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-24,terminal 1,2023-07-24
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-31,terminal 1,2023-07-31
"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-07,terminal 1,2023-08-07
