,Activity,SKH,Type,Date,base
0,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-02,terminal 1
1,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-09,terminal 1
2,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-16,terminal 1
3,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-23,terminal 1
4,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,01-30,terminal 1
5,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-06,terminal 1
6,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-13,terminal 1
7,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-20,terminal 1
8,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,02-27,terminal 1
9,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-06,terminal 1
10,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-13,terminal 1
11,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-20,terminal 1
12,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,03-27,terminal 1
13,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-03,terminal 1
14,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-10,terminal 1
15,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-17,terminal 1
16,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,04-24,terminal 1
17,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-01,terminal 1
18,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-08,terminal 1
19,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-15,terminal 1
20,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-22,terminal 1
21,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,05-29,terminal 1
22,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-05,terminal 1
23,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-12,terminal 1
24,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-19,terminal 1
25,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,06-26,terminal 1
26,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-03,terminal 1
27,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-10,terminal 1
28,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-17,terminal 1
29,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-24,terminal 1
30,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,07-31,terminal 1
31,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-07,terminal 1
32,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-14,terminal 1
33,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-21,terminal 1
34,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,08-28,terminal 1
35,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-04,terminal 1
36,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-11,terminal 1
37,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-18,terminal 1
38,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,09-25,terminal 1
39,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-02,terminal 1
40,"Bonding Wire, Lanyard & Flame Trap Check",106,Weekly,10-09,terminal 1
